general,traditional,_TRAD
general,advanced,_ADV
general,misc,_MISC
general,scoring,_SCORE
general,usage,_USA
general,violations,_VIO
general,estimated-advanced,_ESTADV
playtype,isolation,_P_ISO
playtype,transition,_P_TRANS
playtype,ball-handler,_P_BH
playtype,roll-man,_P_ROLL
playtype,playtype-post-up,_P_POSTUP
playtype,spot-up,_P_SPOTUP
playtype,hand-off,_P_HANDOFF
playtype,cut,_P_CUT
playtype,off-screen,_P_OFFSCREEN
playtype,putbacks,_P_PUTBACKS
playtype,playtype-misc,_P_MISC
tracking,drives,_DRIVES
tracking,catch-shoot,_CANDS
tracking,passing,_PASS
tracking,touches,_TOUCH
tracking,pullup,_PULLUP
tracking,offensive-rebounding,_OREB
tracking,speed-distance,_SANDD
tracking,elbow-touch,_ELBOW
tracking,tracking-post-ups,_POSTUP
tracking,paint-touch,_PAINT
shooting,shooting,_SHOOT
hustle,hustle,_HUSTLE
box-outs,box-outs,_BOXOUT
bio,bio,_BIO
